Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
514763,3.8,3,9.68,227544.0,244605.19,31,31,100.0,1401/01
805635,,0,0.0,0.0,75.453,21,31,67.74,1401/01
529085,23.06,0,0.0,36421.8,406699.3,31,31,100.0,1401/01
514805,2.53,0,0.0,28786.1,5147.656,31,31,100.0,1401/01
603230,,0,0.0,,0.0,31,31,100.0,1401/01
515621,9.73,0,0.0,41631.4,25939.4,31,31,100.0,1401/01
517766,19.83,0,0.0,201013.2,53112.9,31,31,100.0,1401/01
514401,13.82,0,0.0,29555.8,24150.0,31,31,100.0,1401/01
529269,13.72,0,0.0,96127.4,33117.1,31,31,100.0,1401/01
529048,17.22,0,0.0,11641.2,39521.1,31,31,100.0,1401/01
529140,16.12,0,0.0,505.4,14864.25,31,31,100.0,1401/01
514025,13.6,0,0.0,,126.67,27,31,87.1,1401/01
604156,5.2,0,0.0,51919.5,13149.0,31,31,100.0,1401/01
529080,,0,0.0,0.0,0.0,31,31,100.0,1401/01
529050,,0,0.0,0.0,0.0,17,31,54.84,1401/01
806497,7.9,0,0.0,35332.7,16907.5,31,31,100.0,1401/01
516825,8.74,0,0.0,384.4,12344.29,31,31,100.0,1401/01
514495,,0,0.0,0.0,0.0,15,31,48.39,1401/01
518044,0.5,0,0.0,6765.0,379.295,31,31,100.0,1401/01
603030,22.68,0,0.0,14581.4,27807.07,31,31,100.0,1401/01
603043,18.34,0,0.0,536.6,12571.72,31,31,100.0,1401/01
529065,,0,0.0,0.0,138.6,31,31,100.0,1401/01
515678,23.09,7,22.58,72453.7,259398.79,31,31,100.0,1401/01
301121,51.93,0,0.0,10826.4,128689.9,31,31,100.0,1401/01
529011,37.84,0,0.0,82743.8,92306.7,31,31,100.0,1401/01
520175,0.67,0,0.0,3779.2,5.731,31,31,100.0,1401/01
514162,7.35,0,0.0,192191.3,19113.0,31,31,100.0,1401/01
516824,,0,0.0,0.0,0.0,31,31,100.0,1401/01
615159,,0,0.0,,0.0,31,31,100.0,1401/01
529150,11.64,28,90.32,54889.4,660033.35,31,31,100.0,1401/01
604113,8.79,0,0.0,7468.0,21006.39,31,31,100.0,1401/01
910765,4.86,0,0.0,68.2,168.064,31,31,100.0,1401/01
516627,1.27,0,0.0,8067.1,3452.863,31,31,100.0,1401/01
519664,,0,0.0,0.0,0.0,31,31,100.0,1401/01
529066,22.47,4,12.9,507458.7,760887.6,31,31,100.0,1401/01
529068,19.16,0,0.0,1798.6,50699.36,31,31,100.0,1401/01
514417,16.41,0,0.0,5667.3,20022.55,31,31,100.0,1401/01
805671,0.75,1,3.23,1780.1,52.934,31,31,100.0,1401/01
514322,,0,0.0,,0.0,31,31,100.0,1401/01
302038,0.88,0,0.0,361.1,8.481,31,31,100.0,1401/01
515023,,0,0.0,0.0,0.0,15,31,48.39,1401/01
523000,6.88,0,0.0,1161.3,10712.838,31,31,100.0,1401/01
523001,9.73,0,0.0,2174.3,19480.637,31,31,100.0,1401/01
515976,3.34,0,0.0,211.0,71.512,31,31,100.0,1401/01
529131,13.19,0,0.0,12462.9,76782.68,31,31,100.0,1401/01
623176,18.38,0,0.0,1850.4,36120.67,31,31,100.0,1401/01
529330,36.62,0,0.0,25928.1,5307.8,31,31,100.0,1401/01
529314,12.73,0,0.0,15661.9,30268.56,31,31,100.0,1401/01
529176,19.6,0,0.0,48704.6,37859.6,31,31,100.0,1401/01
529265,28.02,0,0.0,159872.0,72331.0,31,31,100.0,1401/01
529090,,0,0.0,4114.5,54851.34,31,31,100.0,1401/01
519105,4.89,0,0.0,36609.0,8235.9,31,31,100.0,1401/01
516929,,0,0.0,,0.0,31,31,100.0,1401/01
805123,,0,0.0,,0.0,31,31,100.0,1401/01
603275,2.48,0,0.0,269.3,188.2,31,31,100.0,1401/01
615274,2.83,0,0.0,26.0,100.933,31,31,100.0,1401/01
601426,1.35,0,0.0,173022.6,69299.45,31,31,100.0,1401/01
514321,16.12,2,6.45,27959.1,19900.0,31,31,100.0,1401/01
615609,2.21,0,0.0,2160.5,1281.328,31,31,100.0,1401/01
529021,11.72,0,0.0,172109.0,31338.2,31,31,100.0,1401/01
529071,,0,0.0,,0.0,31,31,100.0,1401/01
529161,3.2,0,0.0,458798.9,7676.7,31,31,100.0,1401/01
603229,,0,0.0,0.0,0.0,15,31,48.39,1401/01
529061,23.6,0,0.0,8954.2,43619.5,31,31,100.0,1401/01
516280,1.65,0,0.0,84.6,114.781,31,31,100.0,1401/01
