Subscription Code,License Type,County,Meter Serial,Meter Size,Installation Date,Last Connection Time,Consumption in Period (m³),Operating Hours in Period (h),Average Flow Rate in Period (l/s)
515808,کشاورزی,مشهد,909801049051.0,150.0,1402/05/08,1404/01/24 - 03:09:35,0.0,,
514787,کشاورزی,مشهد,909801037640.0,80.0,1401/03/08,1404/01/28 - 03:10:46,28138.3,69055.7,4.84
517495,کشاورزی,مشهد,909801035397.0,150.0,1400/05/20,1403/09/19 - 02:10:33,196209.39,125792.2,10.79
529155,کشاورزی,مشهد,909801033570.0,100.0,1399/10/21,1403/09/19 - 00:53:18,208823.3,1132295.0,13.9
606059,کشاورزی,تربت حیدریه,909801034224.0,150.0,1399/11/26,1403/08/08 - 00:37:31,31053.71,16581.4,12.19
100114,کشاورزی,سبزوار,909801054207.0,100.0,1403/03/13,1404/01/28 - 03:10:41,,,
529108,کشاورزی,مشهد,909801033390.0,125.0,1399/10/09,1404/01/24 - 00:39:55,710595.9,496278.0,22.74
529107,کشاورزی,مشهد,909801033394.0,125.0,1399/10/09,1404/01/28 - 00:45:52,3767006.9,922307.1,26.59
602900,کشاورزی,تربت حیدریه,909801048831.0,50.0,1403/01/25,1403/12/22 - 03:11:01,0.0,,1.6
523005,کشاورزی,تربت جام,909801039446.0,100.0,1401/04/08,1404/01/28 - 02:10:41,42615.39,44101.9,4.72
602051,کشاورزی,خواف,909801056030.0,100.0,1402/08/30,1404/01/28 - 03:10:38,,,
925243,کشاورزی,تربت حیدریه,909801037818.0,80.0,1401/03/01,1404/01/28 - 14:49:49,27910.3,60040.0,2.1
529259,کشاورزی,مشهد,909801041156.0,200.0,1401/08/23,1404/01/28 - 02:10:36,713910.1,3331.5,26.89
107064,کشاورزی,نیشابور,909801044146.0,150.0,1401/03/29,1404/01/15 - 03:11:03,233211.558,1622.5,19.59
604206,کشاورزی,تربت حیدریه,909801033667.0,50.0,1402/10/08,1404/01/28 - 02:09:27,,,
513356,کشاورزی,سرخس,909801053617.0,200.0,1402/10/12,1403/02/17 - 03:09:23,,,
516926,کشاورزی,مشهد,909801032660.0,150.0,1399/05/21,1404/01/28 - 02:13:04,644429.0,3354794.8,24.23
805803,کشاورزی,نیشابور,909801035187.0,50.0,1400/03/03,1404/01/28 - 02:08:18,1373.03,47728.4,1.0
514977,کشاورزی,مشهد,909801036475.0,125.0,1400/09/15,1404/01/26 - 02:08:55,478219.04,275515.4,17.81
604330,کشاورزی,تربت حیدریه,909801032280.0,80.0,1399/03/08,1404/01/28 - 02:10:40,75180.1,2165244.6,2.58
514226,کشاورزی,مشهد,909801033843.0,200.0,1400/02/22,1403/04/19 - 02:08:52,367629.0,1132001.5,12.89
514227,کشاورزی,مشهد,909801035067.0,200.0,1400/02/22,1404/01/28 - 01:51:36,127368.7,2027959.9,4.88
514348,کشاورزی,مشهد,909801040990.0,150.0,1401/03/28,1404/01/27 - 03:12:58,124422.405,277593.5,9.86
100387,کشاورزی,سبزوار,909801051629.0,50.0,1402/03/04,1404/01/28 - 03:07:51,,,
604324,کشاورزی,تربت حیدریه,909801033346.0,150.0,1399/09/25,1404/01/28 - 03:10:35,-222770.07,191514.5,14.91
