Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
517925,2.4,1,3.23,,-39.101,31,31,100.0,1401/03
514441,26.05,2,6.45,586225.8,358069.6,31,31,100.0,1401/03
529124,2.87,2,6.45,1971366.9,4133.4,31,31,100.0,1401/03
805663,1.99,2,6.45,80447.7,21116.8,31,31,100.0,1401/03
603636,0.2,1,3.23,,207.25,24,31,77.42,1401/03
912918,3.41,1,3.23,92306.6,2801.47,31,31,100.0,1401/03
518735,2.25,1,3.23,899.2,370.051,31,31,100.0,1401/03
517968,0.33,1,3.23,5.1,13.241,5,31,16.13,1401/03
603238,1.0,3,9.68,41.3,24.781,31,31,100.0,1401/03
516834,3.5,2,6.45,32788.4,25124.89,31,31,100.0,1401/03
517628,0.25,1,3.23,5218.2,1.301,31,31,100.0,1401/03
804571,22.22,2,6.45,89573.1,40673.4,31,31,100.0,1401/03
515009,36.24,1,3.23,76513.8,11276.5,31,31,100.0,1401/03
514588,22.22,3,9.68,186147.2,37448.298,31,31,100.0,1401/03
529012,15.35,8,25.81,728930.2,1033456.2,31,31,100.0,1401/03
529099,0.85,1,3.23,5779.6,52.263,31,31,100.0,1401/03
515478,9.47,31,100.0,1267.3,-23369.424,31,31,100.0,1401/03
514922,3.04,14,45.16,2137.1,-1991.012,31,31,100.0,1401/03
529014,7.12,9,29.03,1212298.4,1640799.5,31,31,100.0,1401/03
518141,2.74,1,3.23,1075078.9,2388.94,31,31,100.0,1401/03
515467,1.87,1,3.23,40.7,109.106,31,31,100.0,1401/03
615123,0.39,3,9.68,11017.1,91.381,31,31,100.0,1401/03
805876,1.22,1,3.23,1030.0,64.667,31,31,100.0,1401/03
805347,0.84,5,16.13,150637.4,169945.81,31,31,100.0,1401/03
514255,9.21,14,45.16,2372.0,75827.553,31,31,100.0,1401/03
517446,0.2,1,3.23,4.0,2.91,1,31,3.23,1401/03
804310,2.91,4,12.9,804.7,297.454,31,31,100.0,1401/03
517400,0.4,1,3.23,2.2,3.115,1,31,3.23,1401/03
911408,0.41,1,3.23,1273.5,9.274,31,31,100.0,1401/03
515672,2.49,3,9.68,3685.8,1793.482,22,31,70.97,1401/03
805708,0.1,1,3.23,12.6,4.521,1,31,3.23,1401/03
514699,1.99,12,38.71,358686.0,1450572.4,31,31,100.0,1401/03
516876,0.3,1,3.23,329.3,355.684,1,31,3.23,1401/03
516476,1.4,1,3.23,2655.2,3.587,31,31,100.0,1401/03
514259,3.61,7,22.58,20410.2,2292.494,31,31,100.0,1401/03
518127,0.5,1,3.23,9.5,1.618,31,31,100.0,1401/03
517124,2.08,1,3.23,60275.1,5210.29,31,31,100.0,1401/03
602588,1.61,4,12.9,653.0,743.062,31,31,100.0,1401/03
