,Subscription Code,License Type,County,Meter Serial,Meter Size,Installation Date,Last Connection Time,Consumption in Period (m³),Operating Hours in Period (h),Average Flow Rate in Period (l/s)
96,200934,کشاورزی,قوچان,909801036488.0,150.0,1400/08/25,1404/01/28 - 03:10:32,350995.41,623918.5,20.73
97,513130,صنعتی,سرخس,909801051811.0,50.0,1402/08/18,1404/01/28 - 03:07:28,,,
98,603270,کشاورزی,تربت حیدریه,909801048208.0,150.0,1401/11/17,1404/01/28 - 03:09:43,52127.1,4350.9,14.5
99,529184,کشاورزی,مشهد,909801035653.0,200.0,1400/07/11,1404/01/28 - 03:10:44,582284.5,722695.5,29.64
100,804014,کشاورزی,نیشابور,909801039460.0,100.0,1401/05/26,1404/01/28 - 02:10:33,86370.09,22878.4,9.45
101,518716,شرب و بهداشت دام,مشهد,909801035319.0,50.0,1400/04/21,1404/01/27 - 02:10:38,236.3,114828.8,0.32
102,514702,صنعتی,مشهد,909801034784.0,150.0,1400/02/11,1404/01/19 - 00:46:54,179597.36,357834.1,23.04
103,519042,صنعتی,مشهد,909801034825.0,50.0,1400/02/11,1404/01/28 - 02:10:44,3874.047,40172.2,1.18
104,515709,صنعتی,مشهد,909801058313.0,150.0,1402/11/17,1404/01/28 - 03:10:59,,,
105,806476,,مشهد,909801032974.0,150.0,1399/07/23,1404/01/28 - 03:10:31,848460.0,1982901.8,27.27
106,515565,صنعتی,مشهد,909801034571.0,80.0,1400/03/30,1404/01/28 - 02:08:25,154174.86,232061.1,7.68
107,517437,کشاورزی,مشهد,909801035011.0,50.0,1400/06/24,1401/09/24 - 02:11:36,19490.225,227476.0,0.99
108,608518,شرب و بهداشت دام,کاشمر,909801052621.0,50.0,1402/05/03,1404/01/28 - 03:10:38,,,
109,603020,کشاورزی,تربت حیدریه,909801036609.0,150.0,1400/08/05,1402/10/03 - 02:02:55,1151301.8,1110403.2,27.91
110,603019,کشاورزی,تربت حیدریه,909801036610.0,150.0,1400/09/07,1404/01/28 - 02:03:21,350733.38,316493.5,24.43
111,603017,کشاورزی,تربت حیدریه,909801036611.0,150.0,1402/04/26,1404/01/28 - 02:10:46,0.0,,
112,603015,کشاورزی,تربت حیدریه,909801036715.0,200.0,1400/09/08,1404/01/28 - 02:07:46,5221479.99,2786384.1,21.2
